지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로
강원 원주시,(사)원주자유시장작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,101,1
강원 영월군,YW Vision 도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,강릉 영어 작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,강릉금호어울림 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 횡성군,강림면 치악산 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
강원 속초시,고맙습니다풀이음작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 횡성군,공근면 금계 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,과학산업작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,관아 작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,글여울도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,길운작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 춘천시,꾸러기어린이도서관,그렇지 않다,그렇지 않다,그렇다,1,0,273,13
강원 원주시,꿈꾸는 도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 춘천시,꿈너머꿈,그렇지 않다,그렇다,그렇다,2,4640620,450,2
강원 정선군,꿈을 파는 작은도서관,그렇다,그렇다,그렇지 않다,0,0,0,0
강원 영월군,꿈을담은도서관,그렇지 않다,그렇지 않다,그렇다,0,3000000,0,0
강원 태백시,꿈을심어주는마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 삼척시,꿈을이루는도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,꿈이있는 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,꿈쟁이문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,꿈터도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,남산작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 삼척시,남양 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,남원주작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1466000,100,0
강원 원주시,너울문화사랑방,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,노엘문고,그렇지 않다,그렇지 않다,그렇다,0,10000000,0,0
강원 평창군,눈마을작은도서관,그렇다,그렇다,그렇다,2,40000000,30,0
강원 화천군,느릅마을작은도서관,그렇지 않다,그렇지 않다,그렇다,0,3000000,300,0
강원 원주시,느티나무도서관,그렇지 않다,그렇지 않다,그렇다,0,750000,279,1
강원 삼척시,늘푸른문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,다니엘 작은도서관,그렇지 않다,그렇다,그렇지 않다,0,0,0,0
강원 태백시,다솔도서관,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
강원 원주시,단계은행 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 춘천시,달팽이도서관,그렇지 않다,그렇다,그렇다,3,0,408,2
강원 강릉시,대우이안강릉타운작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 속초시,대포마을문고,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,동성마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 태백시,동점마을도서관,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
강원 동해시,동해문화커뮤니티센터,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,동호동새힘새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,두란노 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 홍천군,두란노어린이도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,두산위브,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 춘천시,뒤뚜르어린이도서관,그렇지 않다,그렇지 않다,그렇다,3,5000000,491,0
강원 동해시,등대작은도서관,그렇다,그렇다,그렇지 않다,0,0,0,0
강원 춘천시,뜨란채도서관,그렇지 않다,그렇다,그렇다,4,6279260,458,21
강원 춘천시,로뎀나무문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,로하스강릉작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 인제군,마리서사작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
강원 강릉시,마실작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,만나문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,명륜나눔도서관,그렇지 않다,그렇지 않다,그렇다,0,3782200,0,0
강원 동해시,무릉작은도서관,그렇다,그렇다,그렇지 않다,0,0,0,0
강원 원주시,무실주공1단지 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,무지개 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,묵호동새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,문래문고,그렇지 않다,그렇지 않다,그렇다,0,0,100,0
강원 강릉시,문화작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 태백시,미동문고,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
강원 원주시,미래작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 삼척시,미로지역 행복도서관 ,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,민들레도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,민토,그렇지 않다,그렇다,그렇다,0,0,100,0
강원 원주시,반곡벽산블루밍도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,반곡아이파크 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 삼척시,반석작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 춘천시,반올림도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,발한동새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 인제군,백담솔방울도서관,그렇지 않다,그렇지 않다,그렇다,0,3000000,0,0
강원 강릉시,봄빛작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,봉산샘터 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,2800000,0,0
강원 동해시,북삼동 새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 고성군,빨간머리앤의작은책마을,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,쁘레네작은도서관 별찌,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,쁘레네작은도서관별찌,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,쁘레네작은도서관별찌(명륜점),그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 화천군,사내작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,삼흥마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,상록작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,256,2
강원 원주시,새능력작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 춘천시,새마을작은도서관( 구 그린새마을열린문고),그렇지 않다,그렇지 않다,그렇다,2,0,106,0
강원 고성군,새문문고,그렇지 않다,그렇지 않다,그렇다,0,0,168,0
강원 인제군,서화평화도서관,그렇지 않다,그렇지 않다,그렇다,0,3500000,0,0
강원 삼척시,선한문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,성남시장작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,성덕반딧불작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,세인도서방,그렇지 않다,그렇지 않다,그렇다,0,2400000,700,0
강원 태백시,소도교회독서실,그렇지 않다,그렇지 않다,그렇다,0,6000000,0,0
강원 홍천군,소망 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,소망우리작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,솔올꿈나무작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,솔올작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,송정해변신도브래뉴아파트작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 영월군,숲속에서꿈꾸는도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 인제군,숲으로 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,3500000,0,0
강원 춘천시,스무숲도서관,그렇다,그렇지 않다,그렇다,1,2700000,470,15
강원 강릉시,스카이문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,신화마을도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 삼척시,아낌없이 주는 나무,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 삼척시,아낌없이주는나무,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,아우라지작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,181,0
강원 원주시,아이사랑 도서관,그렇지 않다,그렇지 않다,그렇다,0,0,269,0
강원 춘천시,앞짱어린이도서관,그렇지 않다,그렇지 않다,그렇다,4,5000000,567,18
강원 원주시,양문 작은 도서관,그렇지 않다,그렇지 않다,그렇다,0,0,200,1
강원 양양군,양양감리교회작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1250000,0,0
