지역,도서관명,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수
강원 원주시,(사)원주자유시장작은도서관,101,2871,2,2
강원 영월군,YW Vision 도서관,0,2000,0,0
강원 강릉시,강릉 영어 작은도서관,5242,14227,0,0
강원 강릉시,강릉금호어울림 작은도서관,0,5789,0,0
강원 횡성군,강림면 치악산 작은도서관,453,9416,0,3
강원 속초시,고맙습니다풀이음작은도서관,1219,6948,0,4
강원 횡성군,공근면 금계 작은도서관,557,7828,0,20
강원 강릉시,과학산업작은도서관,0,1113,0,0
강원 강릉시,관아 작은도서관,191,4355,4,4
강원 동해시,글여울도서관,0,1200,0,8
강원 정선군,길운작은도서관,0,2622,0,0
강원 춘천시,꾸러기어린이도서관,278,7040,1,2
강원 원주시,꿈꾸는 도서관,0,3100,0,5
강원 춘천시,꿈너머꿈,73,5324,1,1
강원 정선군,꿈을 파는 작은도서관,200,1700,1,1
강원 영월군,꿈을담은도서관,1000,4000,0,0
강원 태백시,꿈을심어주는마을문고,0,3000,0,0
강원 삼척시,꿈을이루는도서관,400,1700,0,0
강원 강릉시,꿈이있는 작은도서관,0,1900,0,0
강원 강릉시,꿈쟁이문고,100,5100,0,0
강원 원주시,꿈터도서관,153,1500,0,0
강원 강릉시,남산작은도서관,844,8594,0,6
강원 삼척시,남양 작은도서관,3756,4805,0,0
강원 원주시,남원주작은도서관,150,2000,0,0
강원 원주시,너울문화사랑방,80,3280,0,0
강원 정선군,노엘문고,108,10108,2,7
강원 평창군,눈마을작은도서관,350,13000,3,3
강원 화천군,느릅마을작은도서관,300,4817,5,1
강원 원주시,느티나무도서관,300,6800,0,2
강원 삼척시,늘푸른문고,100,3000,0,0
강원 정선군,다니엘 작은도서관,223,1223,1,1
강원 태백시,다솔도서관,2900,4300,0,0
강원 원주시,단계은행 작은도서관,0,1700,0,0
강원 춘천시,달팽이도서관,704,7737,0,7
강원 강릉시,대우이안강릉타운작은도서관,0,1800,0,0
강원 속초시,대포마을문고,200,3000,50,50
강원 동해시,동성마을문고,0,2630,0,4
강원 태백시,동점마을도서관,0,2800,0,0
강원 동해시,동해문화커뮤니티센터,100,1200,0,0
강원 동해시,동호동새힘새마을문고,0,2000,0,1
강원 원주시,두란노 작은도서관,0,1110,0,0
강원 홍천군,두란노어린이도서관,18,4800,1,3
