지역,도서관명,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터
강원 원주시,(사)원주자유시장작은도서관,131,20,있다,1,2
강원 영월군,YW Vision 도서관,49,40,있다,1,0
강원 강릉시,강릉 영어 작은도서관,204,50,있다,1,3
강원 강릉시,강릉금호어울림 작은도서관,162,28,없다,0,0
강원 횡성군,강림면 치악산 작은도서관,138,28,있다,1,0
강원 속초시,고맙습니다풀이음작은도서관,170,48,있다,3,2
강원 횡성군,공근면 금계 작은도서관,150,10,있다,1,1
강원 강릉시,과학산업작은도서관,95,19,있다,1,3
강원 강릉시,관아 작은도서관,87,16,있다,1,1
강원 동해시,글여울도서관,161,70,있다,1,5
강원 정선군,길운작은도서관,45,12,없다,0,0
강원 춘천시,꾸러기어린이도서관,42,14,있다,1,1
강원 원주시,꿈꾸는 도서관,66,30,있다,1,1
강원 춘천시,꿈너머꿈,41,25,있다,1,0
강원 정선군,꿈을 파는 작은도서관,100,24,있다,1,1
강원 영월군,꿈을담은도서관,133,18,있다,1,0
강원 태백시,꿈을심어주는마을문고,48,24,있다,2,0
강원 삼척시,꿈을이루는도서관,72,28,있다,7,3
강원 강릉시,꿈이있는 작은도서관,39,20,없다,0,0
강원 강릉시,꿈쟁이문고,132,15,있다,1,0
강원 원주시,꿈터도서관,45,12,없다,0,0
강원 강릉시,남산작은도서관,170,39,있다,7,2
강원 삼척시,남양 작은도서관,164,16,있다,2,2
강원 원주시,남원주작은도서관,40,10,있다,1,0
강원 원주시,너울문화사랑방,70,20,있다,1,0
강원 정선군,노엘문고,39,8,있다,1,0
강원 평창군,눈마을작은도서관,220,50,있다,3,2
강원 화천군,느릅마을작은도서관,146,20,있다,1,6
강원 원주시,느티나무도서관,129,45,있다,1,0
강원 삼척시,늘푸른문고,40,24,있다,1,0
강원 정선군,다니엘 작은도서관,66,13,있다,1,5
강원 태백시,다솔도서관,84,30,있다,2,0
강원 원주시,단계은행 작은도서관,237,60,있다,4,10
강원 춘천시,달팽이도서관,48,28,있다,1,1
