지역,도서관명,도서구입비,인건비,운영비,합계
강원 원주시,(사)원주자유시장작은도서관,0,5580,240000,245580
강원 영월군,YW Vision 도서관,2000000,0,1000000,3000000
강원 강릉시,강릉 영어 작은도서관,3000000,15000000,5000000,23000000
강원 강릉시,강릉금호어울림 작은도서관,0,0,0,0
강원 횡성군,강림면 치악산 작은도서관,5000000,16838000,2348710,24186710
강원 속초시,고맙습니다풀이음작은도서관,16279850,89230220,15581580,121091650
강원 횡성군,공근면 금계 작은도서관,4997470,14555820,11471720,31025010
강원 강릉시,과학산업작은도서관,0,0,0,0
강원 강릉시,관아 작은도서관,20000000,15000000,5000000,40000000
강원 동해시,글여울도서관,1200000,0,2400000,3600000
강원 정선군,길운작은도서관,0,0,0,0
강원 춘천시,꾸러기어린이도서관,3000000,1200000,6000000,10200000
강원 원주시,꿈꾸는 도서관,0,0,0,0
강원 춘천시,꿈너머꿈,200000,0,3400000,3600000
강원 정선군,꿈을 파는 작은도서관,0,0,0,0
강원 영월군,꿈을담은도서관,2000000,0,1000000,3000000
강원 태백시,꿈을심어주는마을문고,0,0,0,0
강원 삼척시,꿈을이루는도서관,1500000,0,0,1500000
강원 강릉시,꿈이있는 작은도서관,0,0,0,0
강원 강릉시,꿈쟁이문고,0,0,0,0
강원 원주시,꿈터도서관,0,0,0,0
강원 강릉시,남산작은도서관,9500000,38000000,1000000,48500000
강원 삼척시,남양 작은도서관,0,40081,18000,58081
강원 원주시,남원주작은도서관,500000,0,1500000,2000000
강원 원주시,너울문화사랑방,0,0,1000000,1000000
강원 정선군,노엘문고,2000000,0,10000000,12000000
강원 평창군,눈마을작은도서관,4100000,19500000,29200000,52800000
강원 화천군,느릅마을작은도서관,3000000,0,0,3000000
강원 원주시,느티나무도서관,1200000,0,2000000,3200000
강원 삼척시,늘푸른문고,0,0,0,0
강원 정선군,다니엘 작은도서관,500000,0,1000000,1500000
강원 태백시,다솔도서관,0,0,0,0
강원 원주시,단계은행 작은도서관,0,0,0,0
강원 춘천시,달팽이도서관,528000,100000,7398122,8026122
강원 강릉시,대우이안강릉타운작은도서관,0,0,0,0
강원 속초시,대포마을문고,300000,1200000,1500000,3000000
강원 동해시,동성마을문고,4000000,0,15000000,19000000
강원 태백시,동점마을도서관,0,0,0,0
강원 동해시,동해문화커뮤니티센터,600000,0,0,600000
강원 동해시,동호동새힘새마을문고,500000,0,2000000,2500000
강원 원주시,두란노 작은도서관,0,0,0,0
강원 홍천군,두란노어린이도서관,187200,3600000,7200000,10987200
강원 원주시,두산위브,0,0,0,0
강원 춘천시,뒤뚜르어린이도서관,912000,6500000,9388000,16800000
강원 동해시,등대작은도서관,9510000,21500000,2000000,33010000
강원 춘천시,뜨란채도서관,2000000,0,2090000,4090000
강원 춘천시,로뎀나무문고,2300000,3000000,1200000,6500000
강원 강릉시,로하스강릉작은도서관,15470000,15000000,1000000,31470000
강원 인제군,마리서사작은도서관,4900000,4070000,0,8970000
강원 강릉시,마실작은도서관,14000000,16000000,7000000,37000000
강원 동해시,만나문고,500000,0,1560000,2060000
강원 원주시,명륜나눔도서관,2213490,0,1568710,3782200
강원 동해시,무릉작은도서관,4000000,21500000,2000000,27500000
강원 원주시,무실주공1단지 작은도서관,0,0,0,0
강원 정선군,무지개 작은도서관,0,0,0,0
강원 동해시,묵호동새마을문고,1000000,0,2400000,3400000
강원 정선군,문래문고,0,0,4000000,4000000
강원 강릉시,문화작은도서관,10736000,30000000,1000000,41736000
강원 태백시,미동문고,0,0,0,0
강원 원주시,미래작은도서관,0,0,0,0
강원 삼척시,미로지역 행복도서관 ,200000,0,0,200000
강원 원주시,민들레도서관,0,0,0,0
강원 원주시,민토,0,0,0,0
강원 원주시,반곡벽산블루밍도서관,0,0,0,0
강원 원주시,반곡아이파크 작은도서관,1000000,7000000,0,8000000
강원 삼척시,반석작은도서관,0,0,0,0
강원 춘천시,반올림도서관,0,0,200000,200000
강원 동해시,발한동새마을문고,1500000,0,6000000,7500000
강원 인제군,백담솔방울도서관,3000000,0,0,3000000
강원 강릉시,봄빛작은도서관,0,0,0,0
강원 원주시,봉산샘터 작은도서관,1000000,0,1000000,2000000
강원 동해시,북삼동 새마을문고,700000,0,4000000,4700000
강원 고성군,빨간머리앤의작은책마을,500000,0,6000000,6500000
강원 강릉시,쁘레네작은도서관 별찌,0,0,13000000,13000000
강원 원주시,쁘레네작은도서관별찌,200000,0,9000000,9200000
강원 원주시,쁘레네작은도서관별찌(명륜점),1300000,8400000,15000000,24700000
강원 화천군,사내작은도서관,3000000,0,0,3000000
강원 동해시,삼흥마을문고,100000,0,1300000,1400000
