ID,지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로,외부대출여부,대출도서 전용프로그램 여부,전용프로그램 공공도서관 연계 여부,연간 도서대출 권수,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터,연간 총 이용자 수,1일 평균 이용자 수,회원등록자 수,총직원,총봉사자,자격증직원,자격증봉사자,도서구입비,인건비,운영비,합계,실시여부,독서프로수,독서프로실시횟수,독서프로참가자수,문화프로수,문화프로실시횟수,문화프로참가자수
1,강원,(사)원주자유시장작은도서관,0,0,1,0,0,101,1,1,0,0,993,101,2871,2,2,131,20,1,1,2,7199,23,0,0,0,0,0,0,5580,240000,245580,1,0,0,0,1,24,20
2,강원,YW Vision 도서관,0,0,0,0,0,0,0,1,0,0,500,0,2000,0,0,49,40,1,1,0,18250,50,100,1,0,0,0,2000000,0,1000000,3000000,0,0,0,0,0,0,0
3,강원,강릉 영어 작은도서관,1,0,0,0,0,0,0,1,1,1,19289,5242,14227,0,0,204,50,1,1,3,28170,90,1399,2,0,0,0,3000000,15000000,5000000,23000000,0,0,0,0,0,0,0
4,강원,강릉금호어울림 작은도서관,0,0,0,0,0,0,0,1,0,0,783,0,5789,0,0,162,28,0,0,0,1827,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,강원,강림면 치악산 작은도서관,0,0,1,0,0,0,0,1,1,0,611,453,9416,0,3,138,28,1,1,0,6981,28,9,1,0,0,0,5000000,16838000,2348710,24186710,0,0,0,0,0,0,0
6,강원,고맙습니다풀이음작은도서관,0,0,0,0,0,0,0,1,1,0,18231,1219,6948,0,4,170,48,1,3,2,34430,110,1909,4,0,1,0,16279850,89230220,15581580,121091650,1,0,0,0,1,1,25
7,강원,공근면 금계 작은도서관,0,0,0,0,0,0,0,1,1,0,834,557,7828,0,20,150,10,1,1,1,2582,10,0,0,0,0,0,4997470,14555820,11471720,31025010,0,0,0,0,0,0,0
8,강원,과학산업작은도서관,0,0,0,0,0,0,0,1,1,0,130,0,1113,0,0,95,19,1,1,3,261,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,강원,관아 작은도서관,1,0,0,0,0,0,0,1,1,1,4928,191,4355,4,4,87,16,1,1,1,12520,40,128,1,0,0,0,20000000,15000000,5000000,40000000,1,0,0,0,3,10,100
10,강원,글여울도서관,0,0,0,0,0,0,0,1,0,0,11745,0,1200,0,8,161,70,1,1,5,11745,45,0,1,3,0,0,1200000,0,2400000,3600000,1,0,0,0,3,156,9360
11,강원,길운작은도서관,0,0,0,0,0,0,0,1,0,0,267,0,2622,0,0,45,12,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,강원,꾸러기어린이도서관,0,0,1,1,0,273,13,1,1,0,1400,278,7040,1,2,42,14,1,1,1,5220,20,0,1,7,0,0,3000000,1200000,6000000,10200000,1,3,9,90,10,10,200
13,강원,꿈꾸는 도서관,0,0,0,0,0,0,0,1,0,0,200,0,3100,0,5,66,30,1,1,1,10955,35,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
14,강원,꿈너머꿈,0,1,1,2,4640620,450,2,1,1,0,7291,73,5324,1,1,41,25,1,1,0,7830,30,397,0,6,0,0,200000,0,3400000,3600000,1,4,9,110,5,25,350
15,강원,꿈을 파는 작은도서관,1,1,0,0,0,0,0,0, , ,0,200,1700,1,1,100,24,1,1,1,720,3,30,1,3,0,0,0,0,0,0,1,0,0,0,3,39,400
16,강원,꿈을담은도서관,0,0,1,0,3000000,0,0,1,1,1,100,1000,4000,0,0,133,18,1,1,0,3650,10,0,0,0,0,0,2000000,0,1000000,3000000,1,1,50,624,1,48,720
17,강원,꿈을심어주는마을문고,0,0,0,0,0,0,0,1,1,0,3600,0,3000,0,0,48,24,1,2,0,7300,20,0,2,0,0,0,0,0,0,0,1,2,20,200,0,0,0
18,강원,꿈을이루는도서관,0,0,0,0,0,0,0,1,0,0,4800,400,1700,0,0,72,28,1,7,3,9125,25,0,0,0,0,0,1500000,0,0,1500000,0,0,0,0,0,0,0
19,강원,꿈이있는 작은도서관,0,0,0,0,0,0,0,1,1,0,50,0,1900,0,0,39,20,0,0,0,1825,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,강원,꿈쟁이문고,0,0,0,0,0,0,0,1,1,0,30,100,5100,0,0,132,15,1,1,0,1095,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,강원,꿈터도서관,0,0,0,0,0,0,0,0, , ,0,153,1500,0,0,45,12,0,0,0,2610,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,강원,남산작은도서관,1,0,0,0,0,0,0,1,1,1,16473,844,8594,0,6,170,39,1,7,2,19406,62,1342,2,0,0,0,9500000,38000000,1000000,48500000,1,0,0,0,1,4,40
23,강원,남양 작은도서관,0,0,0,0,0,0,0,1,0,0,3420,3756,4805,0,0,164,16,1,2,2,8991,20,30,1,0,0,0,0,40081,18000,58081,0,0,0,0,0,0,0
